ID,Organism,Strain,Molecule product,DB xref,location
OQ565723.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
EF407992.1,Canine coronavirus,C13-20,N/A,taxon:11153,N/A
MF991150.1,Canine coronavirus,CCoV/wolf/2016/IT,N/A,taxon:11153,Italy
LN624642.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
MT250797.1,Canine coronavirus,HLJ/X4,N/A,taxon:11153,China
DQ431028.1,Canine coronavirus,SDT/05,N/A,taxon:11153,Sweden
LN624657.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
GU146061.1,Canine coronavirus,450/07,N/A,taxon:11153,Italy
AB781810.1,Canine coronavirus,fc76,N/A,taxon:11153,Japan
KP322045.1,Canine coronavirus,CCoV-I/dog93,N/A,taxon:11153,Brazil
EU856361.1,Canine coronavirus,341/05,N/A,taxon:11153,Italy
GQ130261.1,Canine coronavirus,352/08,N/A,taxon:11153,United Kingdom
OP858688.1,Canine coronavirus,N/A,N/A,taxon:11153,India
LC190907.1,Canine coronavirus,CCoV/dog/HCM47/2015,N/A,taxon:11153,Viet Nam
OQ623712.1,Canine coronavirus,N/A,N/A,taxon:11153,China
JX035838.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
EU513391.1,Canine coronavirus,CCoV/NTU9/R/2005,N/A,taxon:11153,Taiwan
ON107244.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KC138238.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
EF408009.1,Canine coronavirus,C11-18,N/A,taxon:11153,N/A
JX446572.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
JQ422558.1,Canine coronavirus,VO/34/09/I/GR,N/A,taxon:11153,Greece
GQ130249.1,Canine coronavirus,104/06-D,N/A,taxon:11153,Italy
HQ339884.1,Canine coronavirus,36/04,N/A,taxon:11153,Tanzania
OQ565736.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
JQ422563.1,Canine coronavirus,TH/37/08/I/GR,N/A,taxon:11153,Greece
KP281586.1,Canine coronavirus,CCoV/vaccine/passage9/clone115,N/A,taxon:11153,N/A
LN624660.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
LN624643.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
KP281496.1,Canine coronavirus,CCoV/vaccine/passage2/clone12,N/A,taxon:11153,N/A
GQ148764.1,Canine coronavirus,97/06-27,N/A,taxon:11153,United Kingdom
JQ422579.1,Canine coronavirus,AT/20/09/IIa/GR,N/A,taxon:11153,Greece
