ID,Organism,Strain,Molecule product,DB xref,location
OP674387.1,Infectious bronchitis virus,CK/NL/D092132/2019,N/A,taxon:11120,Netherlands
OR639051.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR467923.1,Infectious bronchitis virus,ck/CH/LN/TA/20230409,N/A,taxon:11120,China
MH427425.1,Infectious bronchitis virus,gammaCoV/ck/China/I0108/16,N/A,taxon:11120,China
PQ373976.1,Infectious bronchitis virus,IBV/Chicken/India/IVRI/TN09/IBVS1/2024,N/A,taxon:11120,India
MK850432.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
MF322833.1,Infectious bronchitis virus,IBV/Chicken/Iran/IS-1494/UT-MG45/2015,N/A,taxon:11120,Iran
OR050553.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,South Korea
OP674108.1,Infectious bronchitis virus,CK/NL/D091305/2017,N/A,taxon:11120,Netherlands
MH427462.1,Infectious bronchitis virus,gammaCoV/ck/China/I0502/17,N/A,taxon:11120,China
MH427450.1,Infectious bronchitis virus,gammaCoV/ck/China/I1116/16,N/A,taxon:11120,China
OP673972.1,Infectious bronchitis virus,CK/NL/D090602/2015,N/A,taxon:11120,Netherlands
OR638773.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
ON470387.1,Infectious bronchitis virus,Mex-07-2,N/A,taxon:11120,Mexico: Central Mexico
OR639392.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KX107628.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MW042823.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OP675013.1,Infectious bronchitis virus,CK/NL/D091158/2016,N/A,taxon:11120,Netherlands
PP949543.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Jiangsu
KJ196128.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
L18990.1,Infectious bronchitis virus,Connecticut,N/A,taxon:11120,N/A
KJ524582.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
KY872964.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
OP673934.1,Infectious bronchitis virus,CK/NL/D091454/2015,N/A,taxon:11120,Netherlands
EU359657.1,Infectious bronchitis virus,Mass commercial vaccine,N/A,taxon:11120,USA
PP949495.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Jiangsu
OR467932.1,Infectious bronchitis virus,ck/CH/LN/JZ/202203,N/A,taxon:11120,China
OR639056.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MH648713.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Saudi Arabia
MT544434.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
AJ619622.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,United Kingdom
JQ964072.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,USA
KY873118.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
OR638873.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR639149.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP674425.1,Infectious bronchitis virus,CK/NL/D091997/2019,N/A,taxon:11120,Netherlands
OR638377.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MH106493.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
OR638435.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KJ196162.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MF447718.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
KX107791.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR638749.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
HF674411.1,Avian infectious bronchitis virus (strain M41),M41,N/A,taxon:11127,Cuba
LC662594.1,Infectious bronchitis virus,JP/Ishida/51,N/A,taxon:11120,Japan
OQ884546.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
OP674940.1,Infectious bronchitis virus,CK/NL/D090859/2015,N/A,taxon:11120,Netherlands
KJ524623.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
PQ586410.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Ecuador
MH412793.1,Infectious bronchitis virus,gammaCoV/ck/China/I0317/17,N/A,taxon:11120,China
OR639589.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP675248.1,Infectious bronchitis virus,CK/NL/D091319/2018,N/A,taxon:11120,Netherlands
KY873015.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
FN430415.1,Infectious bronchitis virus NGA/A116E7/2006,N/A,N/A,taxon:658930,Nigeria
OP673762.1,Infectious bronchitis virus,CK/NL/D090578/2012,N/A,taxon:11120,Netherlands
KY873222.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
AJ619627.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,United Kingdom
PV547708.1,Infectious bronchitis virus,D4/Turtledoves/Swab/Indonesia,N/A,taxon:11120,Indonesia
OP674796.1,Infectious bronchitis virus,CK/NL/D090512/2014,N/A,taxon:11120,Netherlands
MK887062.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
KY873132.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
KU361199.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OP674739.1,Infectious bronchitis virus,CK/NL/D091548/2013,N/A,taxon:11120,Netherlands
MH252984.1,Infectious bronchitis virus,IR/794/2002,N/A,taxon:11120,Iran
OP674898.1,Infectious bronchitis virus,CK/NL/D091602/2015,N/A,taxon:11120,Netherlands
PP949534.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Anhui
OP899612.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Kenya
OR639063.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP673975.1,Infectious bronchitis virus,CK/NL/D091125/2015,N/A,taxon:11120,Netherlands
AY769993.1,Infectious bronchitis virus,CQ/01/2004,N/A,taxon:11120,China
MF322825.1,Infectious bronchitis virus,IBV/Chicken/Iran/793-B/UT-MG60/2016,N/A,taxon:11120,Iran
MN696793.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Trinidad and Tobago
FJ807652.1,Infectious bronchitis virus,H120,N/A,taxon:11120,N/A
MH427444.1,Infectious bronchitis virus,gammaCoV/ck/China/I0607/16,N/A,taxon:11120,China
OR639079.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MH010338.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Serbia
MG191022.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Thailand
JX559832.1,Infectious bronchitis virus,SB-5808,N/A,taxon:11120,Brazil
KY872928.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
OP675082.1,Infectious bronchitis virus,CK/NL/D092046/2017,N/A,taxon:11120,Netherlands
GU393339.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
OP674893.1,Infectious bronchitis virus,CK/NL/D090660/2015,N/A,taxon:11120,Netherlands
LC579998.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Japan
OP675393.1,Infectious bronchitis virus,CK/NL/D092226/2020,N/A,taxon:11120,Netherlands
ON060927.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
OR638870.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OQ884550.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
OP674379.1,Infectious bronchitis virus,CK/NL/D091847/2019,N/A,taxon:11120,Netherlands
OP674070.1,Infectious bronchitis virus,CK/NL/D090739/2016,N/A,taxon:11120,Netherlands
OP673971.1,Infectious bronchitis virus,CK/NL/D090754/2015,N/A,taxon:11120,Netherlands
OP674149.1,Infectious bronchitis virus,CK/NL/D090559/2018,N/A,taxon:11120,Netherlands
MH397208.1,Infectious bronchitis virus,gammaCoV/ck/China/I0302/16,N/A,taxon:11120,China
LC662570.1,Infectious bronchitis virus,JP/Kanagawa/2001,N/A,taxon:11120,Japan
OR639424.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
ON310378.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MF322811.1,Infectious bronchitis virus,IBV/Chicken/Iran/QX/UT-MG25/2015,N/A,taxon:11120,Iran
GQ885127.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Thailand
KT886448.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Poland
OR638931.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP675029.1,Infectious bronchitis virus,CK/NL/D091585/2016,N/A,taxon:11120,Netherlands
MH427433.1,Infectious bronchitis virus,gammaCoV/ck/China/I0414/16-1,N/A,taxon:11120,China
OP674439.1,Infectious bronchitis virus,CK/NL/D091215/2019,N/A,taxon:11120,Netherlands
MW791835.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR638834.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR742754.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,South Africa
KC795604.1,Infectious bronchitis virus,QXIBV,N/A,taxon:11120,China
KX702178.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
PP208723.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KP310027.1,Infectious bronchitis virus,Iran/Variant 2/H500/13,N/A,taxon:11120,Iran
OP674733.1,Infectious bronchitis virus,CK/NL/D090986/2013,N/A,taxon:11120,Netherlands
ON060913.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
KT203557.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,India
MN887175.1,Infectious bronchitis virus,gCoV/Ck/Poland/051/2017,N/A,taxon:11120,Poland
KM365468.1,Infectious bronchitis virus,GX-NN130021,N/A,taxon:11120,China
EF382353.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MN127998.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
KU736751.1,Infectious bronchitis virus,H120 comercial vaccine D,N/A,taxon:11120,Brazil
JF900386.1,Infectious bronchitis virus,GB 1146/07,N/A,taxon:11120,Germany
MT157391.1,Infectious bronchitis virus,I1015/18,N/A,taxon:11120,China
KX236016.1,Infectious bronchitis virus,ck/CH/LHB/090921,N/A,taxon:11120,China
HQ123358.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
OR638657.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR639781.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KY873146.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
GU564336.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Slovenia
AF317214.1,Infectious bronchitis virus,CU82792,N/A,taxon:11120,USA: New York
DQ679420.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OP674413.1,Infectious bronchitis virus,CK/NL/D091778/2019,N/A,taxon:11120,Netherlands
OR638915.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KY872956.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
MK850425.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
KJ425510.1,Infectious bronchitis virus,ck/CH/LSD/110505,N/A,taxon:11120,China
FN182261.1,Infectious bronchitis virus,NGA/A174/2006,N/A,taxon:11120,Nigeria
OR639634.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MG191031.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Thailand
OR639832.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
JN022550.1,Infectious bronchitis virus,QX-like,N/A,taxon:11120,Sweden
MF101746.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Romania
MK887065.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MT665806.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
LC428311.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Japan:Hokkaido
OP674209.1,Infectious bronchitis virus,CK/NL/D090555/2018,N/A,taxon:11120,Netherlands
AF391158.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,N/A
MK523553.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,India
OP673743.1,Infectious bronchitis virus,CK/NL/D091659/2012,N/A,taxon:11120,Netherlands
MH539772.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR638723.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR638780.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP674031.1,Infectious bronchitis virus,CK/NL/D091572/2016,N/A,taxon:11120,Netherlands
OP675066.1,Infectious bronchitis virus,CK/NL/D091629/2017,N/A,taxon:11120,Netherlands
OR161360.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,United Arab Emirates
DQ449067.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Russia
OP674648.1,Infectious bronchitis virus,CK/NL/D091934/2012,N/A,taxon:11120,Netherlands
JX966399.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,India
JX195178.1,Infectious bronchitis virus,ck/CH/LDL/97I,N/A,taxon:11120,China
MF322842.1,Infectious bronchitis virus,IBV/Chicken/Iran/IS-1494/UT-MG136/2016,N/A,taxon:11120,Iran
MH106472.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
OR638980.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
AM236194.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Russia
EU418975.1,Infectious bronchitis virus,ArkDPI101,N/A,taxon:11120,N/A
MW767471.1,Infectious bronchitis virus,CK/CH/HBBD/TX8,N/A,taxon:11120,China
KU728160.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Egypt: Sharqia
MW767468.1,Infectious bronchitis virus,CK/CH/HBBD/D2,N/A,taxon:11120,China
AM236193.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Russia
JN600614.1,Infectious bronchitis virus,4/91,N/A,taxon:11120,Iran
OL688973.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,South Korea
KJ425495.1,Infectious bronchitis virus,ck/CH/LHB/121040,N/A,taxon:11120,China
OR639488.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP674357.1,Infectious bronchitis virus,CK/NL/D091488/2019,N/A,taxon:11120,Netherlands
OP673787.1,Infectious bronchitis virus,CK/NL/D090980/2012,N/A,taxon:11120,Netherlands
KR231009.1,Infectious bronchitis virus,B1648,N/A,taxon:11120,Belgium
OR639179.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OM912696.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Mexico
GQ844990.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR639468.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OL688884.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,South Korea
OR639075.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KM594204.1,Infectious bronchitis virus,IBV16/2013/Morocco,N/A,taxon:11120,Morocco
OR639780.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
FN182256.1,Infectious bronchitis virus,NGA/A116E6/2006,N/A,taxon:11120,Nigeria
OP675321.1,Infectious bronchitis virus,CK/NL/D091235/2019,N/A,taxon:11120,Netherlands
KX578826.1,Infectious bronchitis virus,Iran/Bu/Variant2/SH1229.5/15,N/A,taxon:11120,Iran
KJ425501.1,Infectious bronchitis virus,ck/CH/LHB/131142,N/A,taxon:11120,China
OP675359.1,Infectious bronchitis virus,CK/NL/D091512/2019,N/A,taxon:11120,Netherlands
MG191063.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Thailand
OR639450.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MG407173.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Egypt
DQ386105.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Spain
OP673907.1,Infectious bronchitis virus,CK/NL/D090670/2014,N/A,taxon:11120,Netherlands
LC662591.1,Infectious bronchitis virus,JP/Ibaraki/168-1/2009,N/A,taxon:11120,Japan
KY872893.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
OP881969.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
AY561711.1,Infectious bronchitis virus,M41,N/A,taxon:11120,USA
OP674835.1,Infectious bronchitis virus,CK/NL/D092039/2014,N/A,taxon:11120,Netherlands
PP949503.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Hebei
KY872828.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
MW984655.1,Infectious bronchitis virus,Kr/D048/18,N/A,taxon:11120,South Korea
PP949559.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Anhui
OR437309.1,Infectious bronchitis virus,CK/PL/G142/2016,N/A,taxon:11120,Poland
OP674760.1,Infectious bronchitis virus,CK/NL/D090785/2013,N/A,taxon:11120,Netherlands
PP949558.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Anhui
MW984632.1,Infectious bronchitis virus,Kr/D025/13,N/A,taxon:11120,South Korea
JX182776.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Brazil
OP674914.1,Infectious bronchitis virus,CK/NL/D091764/2015,N/A,taxon:11120,Netherlands
KF007206.1,Infectious bronchitis virus,SDIB763/2012,N/A,taxon:11120,China
MW767477.1,Infectious bronchitis virus,CK/CH/HBBD/D67,N/A,taxon:11120,China
JF951369.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China: Sichuan
KJ196191.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OR638822.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KP751246.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
OR638898.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP674393.1,Infectious bronchitis virus,CK/NL/D091099/2019,N/A,taxon:11120,Netherlands
OP673782.1,Infectious bronchitis virus,CK/NL/D091239/2012,N/A,taxon:11120,Netherlands
MF322855.1,Infectious bronchitis virus,IBV/Chicken/Afghanistan/LX4/AFS15/2016,N/A,taxon:11120,Afghanistan
JX018205.1,Infectious bronchitis virus,026,N/A,taxon:11120,Australia
MN615462.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR978276.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Viet Nam
AF227438.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,N/A
OR639665.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
MK550892.1,Infectious bronchitis virus,Beaudette,N/A,taxon:11120,Brazil
PP208638.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
