ID,Organism,Strain,Molecule product,DB xref,location
ON142320.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
AB277143.1,Bovine coronavirus,Yamagata/5/03,N/A,taxon:11128,Japan
MZ711350.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
JQ741961.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
OR502444.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
OR271251.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
LC504699.1,Bovine coronavirus,S15-Mie-2018,N/A,taxon:11128,Japan
OR077312.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
AB450859.1,Bovine coronavirus,Ishikawa/12/06,N/A,taxon:11128,Japan
OP037385.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
LC829606.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
OP037368.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
OR464030.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OP037430.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
LC494161.1,Bovine coronavirus,TCG-5,N/A,taxon:11128,Japan
AB277137.1,Bovine coronavirus,Tochigi/10/02,N/A,taxon:11128,Japan
GU001944.1,Bovine coronavirus Bubalus/339/ITA/2007,339/07-C,N/A,taxon:702700,Italy
OR464047.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OR464038.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
DQ121619.1,Bovine coronavirus,N/A,N/A,taxon:11128,Denmark
MG757143.1,Bovine coronavirus,N/A,N/A,taxon:11128,France
AB277146.1,Bovine coronavirus,Wakayama/1/05,N/A,taxon:11128,Japan
LC494150.1,Bovine coronavirus,IWT-24,N/A,taxon:11128,Japan
OP037393.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
KF169916.1,Bovine coronavirus,N/A,N/A,taxon:11128,Denmark
DQ389652.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
EF424622.1,Giraffe coronavirus US/OH3-TC/2006,US/OH3-TC/2006,N/A,taxon:422141,USA:Ohio
GQ259979.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
KX373887.1,Bovine coronavirus,TWD2,N/A,taxon:11128,Thailand
MW711304.1,Bovine coronavirus,SWUN/NMG-13/2020,N/A,taxon:11128,China
AB277139.1,Bovine coronavirus,Yamagata/1/03,N/A,taxon:11128,Japan
