ID,Organism,Strain,Molecule product,DB xref,location
MT505457.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK211169.1,Porcine deltacoronavirus,CHN/Sichuan/2017,N/A,taxon:1586324,China
KY078907.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK355396.1,Porcine deltacoronavirus,CHN-SC2015,N/A,taxon:1586324,China: Sichuan
ON631050.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KY496312.1,Porcine deltacoronavirus,CH_HN_2016,N/A,taxon:1586324,N/A
MT505459.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KY364365.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
KR265862.1,Porcine deltacoronavirus,USA/Ohio444/2014,N/A,taxon:1586324,USA: Ohio
KR265851.1,Porcine deltacoronavirus,USA/Indiana453/2014,N/A,taxon:1586324,USA: Indiana
MN058050.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
KT381613.1,Porcine coronavirus HKU15,OH11846,N/A,taxon:1159905,USA: Ohio
MF431742.1,Porcine deltacoronavirus,GD,N/A,taxon:1586324,China
KR265847.1,Porcine deltacoronavirus,USA/Minnesota442/2014,N/A,taxon:1586324,USA: Minnesota
KT945050.1,Porcine deltacoronavirus,OH-FD22 P5,N/A,taxon:1586324,N/A
MN249445.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MT505451.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KX361345.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Thailand
MF461412.1,Porcine deltacoronavirus,PDCV_ZJ17HZ0102,N/A,taxon:1586324,China
MN173812.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON631047.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KP995361.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,USA
MT985160.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,"China: Sichuan, Chongzhou"
KR265861.1,Porcine deltacoronavirus,USA/Nebraska210/2014,N/A,taxon:1586324,USA: Nebraska
KY078915.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PQ243302.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Chongqing
MT505448.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON402372.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN173807.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
LC260045.1,Porcine deltacoronavirus,HKD/JPN/2016,N/A,taxon:1586324,Japan: Hokkaido
KY926512.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
MT260149.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OL441343.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN173780.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
