ID,Organism,Strain,Molecule product,DB xref,location
LC852817.1,Feline coronavirus,FIPV-Aqua,N/A,taxon:12663,Japan
PP601335.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
HF954950.1,Feline coronavirus,N/A,N/A,taxon:12663,USA:RI
MT250365.1,Feline coronavirus,N/A,N/A,taxon:12663,Italy
AY159735.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
OQ594052.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
ON595874.1,Feline coronavirus,N/A,N/A,taxon:12663,Australia
PP254215.1,Feline coronavirus,N/A,N/A,taxon:12663,India: Bhopal
HG325840.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
MT606087.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
MW858311.1,Feline coronavirus,SX/202008/004,N/A,taxon:12663,China
PQ561641.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
OQ594183.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MT606075.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
MG016699.1,Feline coronavirus,HLJ/HRB/2016/04,N/A,taxon:12663,China
PQ641438.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
EU327721.1,Feline coronavirus,N/A,N/A,taxon:12663,Portugal
MN049968.1,Feline coronavirus,N/A,N/A,taxon:12663,China
MG892436.1,Feline coronavirus,BJ/2018/02,N/A,taxon:12663,China
OK236303.1,Feline coronavirus,N/A,N/A,taxon:12663,China
EU664308.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
MW648580.1,Feline coronavirus,NTUCL70,N/A,taxon:12663,Taiwan
JQ304318.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MT606049.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
JQ304377.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PQ540763.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
JQ304342.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MT606043.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
PQ641433.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
OQ594184.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OQ196084.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OK236277.1,Feline coronavirus,N/A,N/A,taxon:12663,China
MW225980.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,Italy
OQ594077.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
JQ304307.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OQ351918.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OK236293.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OR141624.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
OQ594143.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MW316844.1,Feline coronavirus,FCoV/China/SMU-ZGF32/2020,N/A,taxon:12663,China
JQ304354.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
JQ304387.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
EU327731.1,Feline coronavirus,N/A,N/A,taxon:12663,Portugal
JQ304402.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OR295209.1,Feline infectious peritonitis virus,SH2021,N/A,taxon:11135,China
MW858307.1,Feline coronavirus,SH/202012/004,N/A,taxon:12663,China
AAB47503.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,N/A
