ID,Organism,Strain,Molecule product,DB xref,location
MF598631.1,Middle East respiratory syndrome-related coronavirus,camel/UAE_B39_2015,N/A,taxon:1335626,United Arab Emirates
MF598659.1,Middle East respiratory syndrome-related coronavirus,camel/UAE_B69_2015,N/A,taxon:1335626,United Arab Emirates
KF600643.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KT806039.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MN481976.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KT717708.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,South Korea
KP405227.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MK796425.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,South Korea
MG912606.1,Middle East respiratory syndrome-related coronavirus,Hu/Riyadh-KSA-9852/2017,N/A,taxon:1335626,Saudi Arabia
PP952197.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia: Jeddah
OR742171.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Kenya
KY581696.1,Middle East respiratory syndrome-related coronavirus,Camel/UAE_1H-B_2014,N/A,taxon:1335626,United Arab Emirates
MG011358.2,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
OP866279.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Ethiopia
MZ268404.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Ethiopia
KJ156881.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KJ573792.1,Middle East respiratory syndrome-related coronavirus,Oman30_2013,N/A,taxon:1335626,Oman
KT806014.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
PV000776.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,South Korea
OK094449.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Kenya
MG520076.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MN654986.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KM210277.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,United Kingdom
KX154691.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MG011346.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
PP952179.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia: Al Riyadh
MN120513.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KT805989.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MF741837.1,Middle East respiratory syndrome-related coronavirus,Hu/Jordan-12918/2015,N/A,taxon:1335626,Jordan
MH734114.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Kenya
KT805996.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KJ156870.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MH454272.1,Middle East respiratory syndrome-related coronavirus,HCoV-EMC,N/A,taxon:1335626,Saudi Arabia
PP952173.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia: Jeddah
KT368863.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MT675266.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia: Riyadh
MN541274.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Sudan
MF598625.1,Middle East respiratory syndrome-related coronavirus,camel/UAE_B33_2015,N/A,taxon:1335626,United Arab Emirates
KJ782549.1,Middle East respiratory syndrome-related coronavirus,Greece-Saudi Arabia_2014,N/A,taxon:1335626,Greece
KY688124.1,Middle East respiratory syndrome-related coronavirus,Hu/Hufuf-KSA-11401/2015,N/A,taxon:1335626,Saudi Arabia
KM027277.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KJ156930.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
