ID,Collection date
MT438700,2017-01-27
MN369046,2018
MN306046,2019
KM055531,2011
KM055532,2009
KM055533,2009
KM055534,2009
KM055535,2009
KM055536,2009
KM055537,2009
KM055538,2010
KM055539,2010
KM055540,2010
KM055541,2010
KM055542,2010
KM055543,2010
KM055544,2011
KM055545,2009
KM055546,2009
KM055547,2009
KM055548,2011
KM055549,2011
KM055550,2011
KM055551,2007
KM055552,2007
KM055553,2009
KM055554,2008
KM055555,2008
KM055556,2008
KM055557,2005
KM055558,2009
KM055559,2005
KM055560,2009
MH048989,2014
MF593473,2015
MF542265,2016-03
KY996417,2016-11-23
KY983587,2015
KY621348,2016
KY967357,2015
KY674914,2016
KY674919,2008
KY684760,2016
KY369908,2016
KY369909,2016
KY369910,2016
KY369911,2016
KY369912,2016
KY369913,2016
KY369914,2016
KY073747,2009-06-20
KY073748,2010-06
KT253324,2014
KT253325,2014
KT253326,2014
KT253327,2014
KT253328,2014
KU291448,2015
KU291449,2015
KT359770,2012
KT359771,2012
KT359772,2012
KT359773,2012
KT359774,2012
KT359775,2012
KT359776,2012
KT359777,2012
KT359778,2012
KT359779,2012
KT359780,2012
KT359781,2012
KT359782,2012
KT359783,2012
KT359784,2012
KT359785,2013
KT368892,2014-06
KT368893,2014-06
KT368894,2014-06
KT368895,2014-10
KT368896,2014-10
KT368897,2014-10
KT368898,2014-11
KT368899,2014-11
KT368900,2014-11
KT368901,2014-11
KT368902,2014-12
KT368903,2014-12
KT368904,2014-12
KT368905,2014-12
KT368906,2014-12
KT368907,2015-03
KT368908,2015-03
KT368909,2015-01
KT368910,2015-01
KT368911,2015-01
KT368912,2015-01
KT368913,2015-04
KT368914,2015-04
KT368915,2015-03
KT368916,2015-03
KT253259,2010
KT253260,2010
KT253261,2010
KT253262,2011
KT253263,2011
KT253264,2010
KT253265,2011
KT253266,2010
KT253267,2011
KT253268,2011
KT253269,2011
KT253270,2010
KT253271,2011
KT253272,2010
KM077069,
KM077070,
KM077071,
KJ866102,2013-05-15
KJ866103,2013-06-12
KJ866104,2012-02-04
KJ866105,2012-02-04
KJ866106,2012-05-22
KJ796450,2011-12-13
KJ796451,2011-12-08
KJ796452,2011-12-08
KJ796453,2011-12-13
KJ796454,2012-03-19
KJ796455,2011-10-24
KJ796456,2012-03-19
KJ796457,2011-12-08
KJ796458,2011-12-08
KJ796459,2011-12-08
KJ796460,2011-12-08
KJ796461,2011-12-19
KJ796462,2011-12-21
KJ796463,2012-03-19
KJ768612,2011-12-13
KJ768613,2011-12-14
KJ768614,2011-12-07
KJ768615,2011-12-13
KJ768616,2012-02-17
KJ768617,2012-01-04
KJ768618,2012-01-04
KJ768619,2012-01-04
KJ768620,2012-07-18
KJ768621,2012-05-11
KF285480,
KF293664,
KF293665,
KF293666,
JX513245,2011-01-06
KF514429,1989-02-07
KF514430,1993-03-18
KF514431,1995-03-23
KF514432,1993-02-22
KF514433,1993-03-11
JX503060,2010
JX503061,2009
JQ410000,2008
AB691763,
AB691764,2004
