ID,Collection date
MG426011,2016-01-17
MG426012,2009-10-31
MG426013,2010-07-20
MG426014,2012-01-04
MG426015,2010-06-20
MG426016,2010-08-10
MG426017,2016-11-23
MG426018,2016
OK073075,2014
OK073076,2017
LC720428,2019
MZ682627,2017-06
LC687394,2018
LC687395,2018
LC687396,2019
LC687397,2019
LC687401,2021
LC687402,2021
MW587039,2017-12
OK625405,2017
MW202337,2018
MW202338,2018
LC654455,2018
MT492197,2012
MT492198,2012
MT501720,2012
MT501721,2012
MT118686,2019
MT118694,2019
LC488388,2018
LC488389,2018
LC488390,2017
MK342125,2018-08-01
MK342126,2018-07-06
MK342127,2018-07-03
MK342128,2018-08-01
MK342129,2018-08-15
MK342130,2018-08-15
MK342131,2018-08-01
MK342132,2018-07-06
MK342133,2018-08-01
MN306018,2018
MN306040,2019
MK334043,2018-08-15
MK334044,2018-07-13
MK334045,2018-08-14
MK334046,2018-09-01
MK334047,2018-07-25
MN026166,2018-01-29
KM055632,2008
KM055633,2010
KM055634,2008
KM055635,2008
KM055636,2008
KM055637,2008
KM055638,2007
KM055639,2007
KM055640,2007
KM055641,2007
KM055642,2007
KM055643,2008
KM055644,2007
KM055645,2008
KM055646,2008
KM055647,2007
KM055648,2008
KM055649,2008
KM055650,2008
MG356413,2008-03-18
MG356414,2010-05-11
MG356415,2010-05-14
MG356416,2010-05-15
MG356417,2010-05-18
MG356418,2010-05-19
MG356419,2010-05-20
MG356420,2010-05-20
MG356421,2010-05-20
MG356422,2010-05-21
MG356423,2010-05-24
MG356424,2010-06-01
MG356425,2010-06-04
MG356426,2010-06-04
MG356427,2010-06-20
MG356428,2010-08-09
MG356429,2011-03-28
MG356430,2011-03-30
MG356431,2011-05-12
MG356432,2011-05-20
MG356433,2011-06-06
MG356434,2011-07-26
MG356435,2012-06-15
MG356436,2012-07-27
MG356437,2012-08-21
MG356438,2012-11-19
MG356439,2013-04-08
MG356440,2013-04-12
MG356441,2013-05-03
MG356442,2013-05-04
MG356443,2013-05-25
MG356444,2013-05-26
MG356445,2013-06-17
MG356446,2013-06-18
MG356447,2013-12-09
MG356448,2014-01-21
MG356449,2014-01-24
MG356450,2014-01-26
MG356451,2014-02-21
MG356452,2014-05-27
MG428699,2010-05-19
MG428700,2010-06-01
MG428701,2010-06-04
MG428702,2010-05-11
MG428703,2010-06-01
MG428704,2010-05-20
MG428705,2010-05-21
MG428706,2010-05-24
MG428707,2010-05-20
KY862035,2015-02-15
KY862036,2015-01-05
KY862037,2014-01-03
KY862038,2014-03-16
KY862039,2013-02-01
KY862040,2013-03-20
KY862041,2012-02-17
KY862042,2012-02-01
KY862043,2011-10-08
KY862044,2011-02-21
KY862045,2010-12-17
KY862046,2010-10-05
KY862047,2009-04-24
KY862048,2009-01-08
KY862049,2008-02-19
KY862050,2008-02-15
KY862051,2005-02-23
KY862052,2005-01-24
KY862053,2004-12-18
KY862054,2004-10-11
MG772808,2014-11-25
KX866386,2006-01-25
KX866387,2006-03-12
KX866388,2007-01-05
KX866389,2007-02-18
KX866390,2007-03-03
KX866391,2007-03-27
KX866392,2007-04-15
KX866393,2008-02-24
KX866394,2008-03-14
KY983586,2015
KY829118,2015
KY554967,2016
KY554968,2016
KY554969,2016
KY554970,2016
KY554971,2016
KY674915,2016
KY674916,2016
KX179494,2015-01-21
KX179495,2015-01-22
KX179496,2015-01-27
KX179500,2015-09
KT359872,2012
KT359873,2012
KT359874,2012
KT359875,2012
KT359876,2012
KT359877,2012
KT359878,2012
KT359879,2012
KT359880,2012
KT359881,2012
KT359882,2012
KT359883,2012
KT359884,2012
KT359885,2012
KT359886,2012
KT359887,2012
KT359888,2012
KT359889,2012
KT359890,2012
KT359891,2012
KT359892,2012
KT359893,2012
KT359894,2012
KT359895,2012
KT359896,2012
KT359897,2012
KT359898,2012
KT359899,2012
KT359900,2012
KT359901,2012
KT359902,2012
KT359903,2012
KT359904,2012
KT359905,2012
KT359906,2012
KT359907,2012
KT359908,2012
KT359909,2012
KT359910,2013
KT359911,2013
KT359912,2013
KT359913,2013
KM077072,
KM077073,
KM077074,
KM077075,
KM077076,
KM077077,
KM077078,
KM077079,
KM077080,
KM077081,
KM077082,
KM077083,
KM077084,
KM077085,
KM077086,
KM077087,
KM077088,
KM077089,
KM077090,
KM077091,
KM077092,
KM077093,
KJ866126,2013-10-17
KJ866127,2012-03-28
KJ866128,2013-01-17
KJ866129,2013-09-28
KJ866130,2013-05-10
KJ866131,2012-03-29
KJ866132,2012-03-29
KJ866133,2012-03-29
KJ866134,2012-05-10
KJ866135,2012-05-10
KJ866136,2012-07-10
KJ866137,2012-08-22
KJ866138,2012-08-22
KJ866139,2012-08-22
KJ866140,2012-12-14
KJ866141,2012-12-18
KJ866142,2012-09-07
KJ866143,2012-12-10
KJ866144,2013-08-12
KJ796465,2012-05-12
KJ796466,2012-05-12
KJ796467,2012-05-12
KJ768633,2012-05-12
KJ768634,2012-05-11
KJ768635,2012-07-24
KJ768636,2012-05-12
KJ768637,2012-05-12
KJ768638,2012-05-12
KJ768639,2012-05-12
KJ768640,2012-05-12
KJ768641,2012-05-12
KJ768642,2012-01-04
KJ768643,2012-01-04
KF530104,1990-04-26
KF530105,2001-02-23
KF530106,1987-12-16
KF530107,1991-01-24
KF530108,1989-01-05
KF530109,1990-03-21
KF530110,1983-08-16
KF530111,1990-01-05
KF530112,2001-11-21
KF530113,1990-05-29
KF530114,1989-01-03
JX513249,2010-03-04
JX513250,2010-05-06
JX513251,2010-05-27
JX513252,2010-06-03
JX513253,2010-06-17
JX513254,2010-06-17
JX513255,2010-06-17
JX524171,2009-01-24
JX104161,2008-11-04
AB695183,2010-12
AB695184,2010-12
AB695185,2010-12
AB695186,2010-12
AB695187,2010-12
AB695188,2011-01
AB695189,2011-01
JQ765563,2009-03-16
JQ765564,2009-03-01
JQ765565,2009-02-13
JQ765566,2008-01-08
JQ765567,2009-03-12
JQ765568,2005-01-11
JQ765569,2005-01-18
JQ765570,2005-01-19
JQ765571,2005-01-23
JQ765572,2005-02-01
JQ765573,2005-04-12
JQ765574,2005-11
JQ765575,2005-11-21
JQ771055,2010-12-15
JQ771056,2010-12-23
JQ771057,2010-12-03
JQ771058,2010-12-11
JQ771059,2010-12-14
JQ771060,2010-12-30
FJ656153,2006-02
FJ656154,2006-03
FJ656155,2006-03
FJ656156,2006-03
FJ656157,2007-02
FJ656158,2007-02
FJ656159,2007-02
FJ656160,2007-03
FJ656161,2007-03
FJ656162,2007-03
FJ656163,2007-03
FJ656164,2007-03
FJ656165,2007-04
FJ656166,2007-04
FJ656167,2007-05
FJ656168,2006-12
FJ656169,2007-02
FJ656170,2007-03
FJ656171,2007-03
FJ656172,2007-03
FJ656173,2007-03
FJ656174,2007-03
GQ856798,2006
GQ856799,2006
GQ856800,2006
GQ856801,2006
GQ856802,2006
GQ856803,2006
GQ856804,2006
GQ856805,2006
GQ856806,2006
GQ856807,2006
GQ856808,2006
GQ856809,2006
GQ856810,2005
GQ856811,2005
GQ856812,2005
GQ856813,2005
GQ856814,2005
EF507745,2005
EF507746,2005
EF507747,2005
EF507748,2005
EF507749,2005
EF507750,2005
EF507751,2005
EF507752,2005
EF507753,2005
EF507755,2005
EF507756,2005
EF507757,2005
EF507758,2005
EF507759,2005
EF507760,2005
EF507761,2005
EF507762,2005
EF507763,2005
EF507764,2005
EF507765,2005
EF507766,2005
EF507767,2005
EF507768,2005
EF507754,2005
AY766005,
AY766006,
AY766007,
AY766008,
AY766009,
AY766010,
EU025124,
EU025125,
EU025126,
EU025127,
EU025128,
DQ231158,
DQ231159,
DQ231160,
DQ231161,
DQ231162,
DQ231163,
DQ231164,
DQ231165,
DQ231166,
DQ462781,
DQ462782,
DQ462783,
DQ462784,
DQ462785,
DQ462786,
DQ462787,
DQ462788,
DQ462789,
DQ462790,
DQ462791,
DQ462792,
DQ445912,
DQ445911,
AY902242,
AY994243,
AY994244,
AY994245,
AY994246,
AY994247,
AY994248,
AY994249,
AY994250,
AY994251,
AY994252,
AY994253,
AY994254,
Q6Q1S2,
AY758299,
AY758297,
AY758298,
AY758300,
AY758301,
AY697420,
AY518894,
AY567487,
